,,,,,,,,
Programme,LIEN,NBLM,AUDIO,INFO,PDF,SLIDE,VIDEO,Suivi
"011_DGT_B1_M03_S002 - La veille technologique : sources, référents, outils et bonnes pratiques",,,,,https://drive.google.com/file/d/1qtZc-CQAvsCcYh66szqSZ3g-vgygEh5r/view?usp=drivesdk,,,"25,00%"
012_DGT_B1_M03_S003 - La veille concurrentielle et sectorielle,,,,,https://drive.google.com/file/d/15cP5CjeCL60ceBCyocpONX58xqQ1ByCT/view?usp=drivesdk,,,"25,00%"
013_DGT_B1_M03_S004 - Les autres types de veille,,,,,https://drive.google.com/file/d/1Cjn7LtIl6gVjpn8uRTqYtDJsYxqnXdgz/view?usp=drivesdk,,,"25,00%"
014_DGT_B1_M03_S005 - Les matrices de veille,,,,,https://drive.google.com/file/d/1TuLVTqIH6UzGJz3rhxfiN2XOAVGDq1kR/view?usp=drivesdk,,,"25,00%"
015_DGT_B1_M04_S001 - La problématique d'innovation ou de transformation,,,,,https://drive.google.com/file/d/1xA0l6x8HkdQDRsX3yiOOrU8uFit5apeb/view?usp=drivesdk,,,"25,00%"
016_DGT_B1_M04_S002 - Orienter le projet d'innovation sur le client final,,,,,https://drive.google.com/file/d/1KbWhOIoGdVINgWxfNov3SmY2aAqXq5sM/view?usp=drivesdk,,,"25,00%"
017_DGT_B1_M05_S001 - Analyse des contraintes dans la mise en oeuvre d'un projet,,,,,https://drive.google.com/file/d/1zjGTwJUR_iN5cRnve4buWr-ejAsDliRo/view?usp=drivesdk,,,"25,00%"
018_DGT_B1_M05_S002 - L'analyse des risques,,,,,https://drive.google.com/file/d/1ohKYuCf0rhkro5PUh5Hjd2yalIYhIQtQ/view?usp=drivesdk,,,"25,00%"
019_DGT_B1_M05_S003 - Analyse de l'impact d'un projet,,,,,https://drive.google.com/file/d/1_lMmj-xxIyurT9aTA-AhG3dZjgjcliiN/view?usp=drivesdk,,,"25,00%"
020_DGT_B1_M05_S004 - Application - Identification des risques et enjeux de la transition numérique d'une entreprise,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49474&moduleId=70336&themeId=120685,,,,https://drive.google.com/file/d/1yRh2kN2xM4vUlBadGJykRN5Z5OmJMIak/view?usp=drivesdk,,,"37,50%"
021_DGT_B1_M06_S001 - Apprendre à générer des idées,,,,,https://drive.google.com/file/d/1Qmyzrot4TrEUcObXun6eVFRp5YO_MWN4/view?usp=drivesdk,,,"25,00%"
"022_DGT_B1_M06_S002 - Design Thinking : La phase d’empathie, la compréhension du besoin",,,,,https://drive.google.com/file/d/1ASOEN0vm3s0yaPHcGcCL-aG-ctIFx_Pg/view?usp=drivesdk,,,"25,00%"
023_DGT_B1_M06_S003 - Design Thinking : la phase d’idéation,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70342&themeId=128151,,,,https://drive.google.com/file/d/1X4isSi2MoNx_kQ-Rcf884aHwCprmode_/view?usp=drivesdk,,,"37,50%"
024_DGT_B1_M06_S004 - Design Thinking : La phase de prototypage de la solution,,,,,https://drive.google.com/file/d/1jK5nWQeEOH9rt0F-oiIbx6yEiLxzOkyG/view?usp=drivesdk,,,"25,00%"
025_DGT_B1_M06_S005 - Design Thinking : La phase de test de la solution,,,,,https://drive.google.com/file/d/1LFvRCVJRxC8_rItIMo7GtGKPn7k5Zn9n/view?usp=drivesdk,,,"25,00%"
026_DGT_B1_M06_S006 - Design Thinking : La phase de d'itération,,,,,https://drive.google.com/file/d/1dR5eatRlUHp76acsklGnHy25piGIJ8s5/view?usp=drivesdk,,,"25,00%"
027_DGT_B1_M06_S007 - Animer un atelier de brainstorming,,,,,https://drive.google.com/file/d/1ZuwP4q-K8hEDgFexG55CLJPzxrzyQszv/view?usp=drivesdk,,,"25,00%"
028_DGT_B1_M06_S008 - Préparer et présenter un dossier de conception,,,,,https://drive.google.com/file/d/1XVBweHLjP4aIqlvuUv-xSWvZHEQEwg6m/view?usp=drivesdk,,,"25,00%"
029_DGT_B1_M07_S001 - La complémentarité étude qualitative/ étude quantitative,,,,,https://drive.google.com/file/d/1jGnCKs6wFVknnmt4kbbioNiUUWCP2VV_/view?usp=drivesdk,,,"25,00%"
030_DGT_B1_M07_S002 - Les études qualitatives,,,,,https://drive.google.com/file/d/15ontwPhPpHrw8wx_Pq2PE3TSUw3QzhK9/view?usp=drivesdk,,,"25,00%"
031_DGT_B1_M07_S003 - La mise en oeuvre d'études qualitatives,,,,,https://drive.google.com/file/d/1vSUKbenq_KQNe-yJQKwy0hua8tBcmst1/view?usp=drivesdk,,,"25,00%"
032_DGT_B1_M07_S004 - Les types d'études quantitatives,,,,,https://drive.google.com/file/d/1hXrX_EbqPtZk1p9oVxHSRKvoDbXoNs65/view?usp=drivesdk,,,"25,00%"
033_DGT_B1_M07_S005 - La réalisation d'une enquête,,,,,https://drive.google.com/file/d/17kjPFr0ODTAT5s8e5MAvXe-19pMvfOOk/view?usp=drivesdk,,,"25,00%"
034_DGT_B1_M07_S006 - Les méthodes d'échantillonnage,,,,,https://drive.google.com/file/d/11gWPQ2SGm3lEw-nhg9Tp3E_t7rAJgEuJ/view?usp=drivesdk,,,"25,00%"
035_DGT_B1_M07_S007 - Les études à l'épreuve du numérique,,,,,https://drive.google.com/file/d/1e8tj4xIo8g0Lhz3P4QJAJkaLLKT3JFll/view?usp=drivesdk,,,"25,00%"
036_DGT_B2_M01_S001 - Guide du bloc Concevoir un projet de transformation et/ou d’innovation,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70341&themeId=129636,https://notebooklm.google.com/notebook/f01b2f5b-5032-4b4d-ab0f-965c91c88055,https://drive.google.com/file/d/1CoqPojK4ry3DT7zCSiHrCUEcLevi-iKK/view?usp=drivesdk,https://drive.google.com/file/d/1SY7jF5wqra7lxTsarhCm_WQv5uHvAtTL/view?usp=drivesdk,https://drive.google.com/file/d/105-QCRnUm0OlXJBkgIeqoGxya8jvzuDf/view?usp=drivesdk,https://docs.google.com/presentation/d/1d0YsEGR4NNrvfC3gS8PhEOR6tjzpZsBi/edit?usp=drivesdk&ouid=108746249066667293401&rtpof=true&sd=true,https://drive.google.com/file/d/10HvdNDlNAZOATMkuBVoBeDeza0yL8_CX/view?usp=drivesdk,"100,00%"
037_DGT_B2_M02_S001 - Les fondamentaux d'une proposition de valeur,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70340&themeId=120246,https://notebooklm.google.com/notebook/21e42ff4-a6fd-4fea-900e-c823d99909a4,https://drive.google.com/file/d/1DaicT9D0FgEu3SzQo2OnVLzzDlDjQgsz/view?usp=drivesdk,https://drive.google.com/file/d/10I-Z_pvlwtYamkbRNxtQgrYUpUTvQn4B/view?usp=drivesdk,https://drive.google.com/file/d/1GPJXUmPSBz5MckNKSuk2oZjXoOU7GPT4/view?usp=drivesdk,https://docs.google.com/presentation/d/1dFC-x35O0mpvvLWayiDlXfqcHEh-vYVu/edit?usp=drivesdk&ouid=108746249066667293401&rtpof=true&sd=true,https://drive.google.com/file/d/1o3K5xElTVTHyi4ad9iAx75RRXJk3AVtY/view?usp=drivesdk,"100,00%"
038_DGT_B2_M02_S002 - Les objectifs d'une proposition de valeur,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70340&themeId=120247,,,,https://drive.google.com/file/d/14y1fRwXIVnuKY_XFyOHsuZCrDM83jWf1/view?usp=drivesdk,,,"37,50%"
